Straw - Cereal,1213
Clover,1214
"Forage kale, roots and similar products",1214
Hay,1214
"Kale, forage",1214
Lucerne meal,1214
Lupines,1214
Swedes,1214
Vetches,1214
"Arabic, gum",1301
Balsams,1301
Copal,1301
Gum-resins (natural),1301
"Gums, natural other",1301
Incense-raw,1301
Lacs,1301
Myrrh,1301
Oleoresin,1301
"Resins, natural",1301
Shellac,1301
"Storax, crude",1301
"Tragacanth, gum",1301
Natural resins,"1301, 3913"
Agar-agar,1302
Carrageenan,1302
Cassia pulp,1302
Cola (kola) extract,1302
Extracts - Hop,1302
Extracts - Liquorice,1302
Extracts - Pyrethrum,1302
Guar seed flour and gum,1302
Hop extract,1302
Liquorice - Extract,1302
Locust bean flour and gum,1302
"Mucilages, natural",1302
"Opium, crude",1302
"Pectin substances, pectinates and pectates",1302
Vegetable materials - Saps and extracts,1302
Bamboo canes,1401
"Canes, bamboo, rattan and tsinglee, garden",1401
Osier (willow twigs),1401
Plaiting (vegetable) material,1401
Raffia,1401
Rattan canes,1401
Reeds (plaiting material),1401
Rushes (plaiting material),1401
"Straw - Cleaned, bleached or dyed",1401
Tsinglee garden canes,1401
Vegetable materials - For plaiting,1401
"Willow, for basket-making",1401
Eel-grass,1402
"Hair, other - Vegetable",1402
Kapok,1402
Milkweed,1402
Vegetable materials - For stuffing,1402
Bahia piassava,1403
Broomcorn tops,1403
Couch-grass,1403
"Fibres - Vegetable, brushmaking",1403
Gomuti (gumati) fibre,1403
Gumati (gomuti) fibre,1403
Istle fibre,1403
Madagascar fibre,1403
Mexican fibre,1403
Para piassava,1403
Piassava,1403
Sorghum tops,1403
Vegetable materials - For brush making,1403
Istle,"1403, 5304"
Albardin grass,1404
Coconut shells,1404
Corozo nuts,1404
Cotton (textile) - Linters,1404
Dom nuts,1404
Dom palm seeds,1404
Dyeing raw vegetable materials for,1404
Esparto,1404
Gall nuts,1404
Loofahs,1404
Myrobalans,1404
Quillaia bark,1404
Seeds - For carving,1404
"Tanning, raw vegetable material for",1404
"Vegetable materials - For carving, unworked",1404
Vegetable materials - For dyeing or tanning,1404
Vine-tie grass,1404
Henna,"1404, 3203"
Prepared waxes,"15, 3404"
"Fat - Pig and poultry, rendered or solvent extracted",1501
Lard,1501
"Pig fat, rendered or solvent extracted",1501
"Poultry fat, rendered or solvent extracted",1501
Premier jus,1502
Tallow,1502
Lard oil,1503
Oleo-oil,1503
Oleostearin,1503
Stearin(e),1503
Tallow oil,1503
Sperm oil,1504
"Cod liver oil, in bulk","1504, 1516, 1518"
Herring - Oil,"1504, 1516, 1518"
Whale oil,"1504, 1516, 1518"
Wool grease,1505
"Grease, wool","1505, 1516, 1518"
Lanolin,"1505, 1516, 1518"
Neat's foot oil,"1506, 1516, 1518"
Oiticica oil,1507
Soya bean oil,"1507, 1516, 1518"
Groundnut oil,"1508, 1516, 1518"
Olive oil,1509
Palm kernel oil,"1511, 1516, 1518"
Palm oil,"1511, 1516, 1518"
Sunflower seed oil,"1512, 1516, 1518"
Cotton seed oil,"1512, 1518"
Coconut (copra) oil,"1513, 1516, 1518"
Mustard - Fixed oil,"1514, 1518"
Rape oil (including colza oil),"1514, 1518"
Maize oil,1515
Tobacco-seed oil,1515
Tung oil,1515
Corn oil,"1515, 1516, 1518"
Linseed oil,"1515, 1516, 1518"
Stillingia oil,"1515, 1516, 1518"
"Castor oil, other","1515, 1518"
Sesamum oil,"1515, 1518"
"Castor oil, hydrogenerated",1516
"Fats, edible, prepared",1517
"Lard, imitation",1517
Margarine,1517
Glycerol and glycerol lyes,1520
Beeswax,1521
Candelilla wax,1521
Carnauba wax,1521
Esparto wax,1521
Ouricury wax,1521
Spermaceti,1521
Waxes - Insect,1521
Waxes - Vegetable,1521
Degras,1522
Dregs - oil,1522
Oil - Foots and dregs,1522
"Residues, fatty",1522
Soapstocks,1522
Sausages,1601
"Bacon, canned, prepared or preserved",1602
"Bacon, prepared or preserved",1602
Beef - Corned,1602
Beef - Prepared or preserved,1602
"Beef - Tongues, canned, prepared or otherwise preserved",1602
Corned beef,1602
"Ham and hams, prepared or preserved",1602
"Lamb (meat) - Canned, prepared or otherwise preserved",1602
Meat - Pastes,1602
Meat - Pies,1602
Meat - Preparations,1602
"Mutton - Canned, or prepared or otherwise preserved",1602
Mutton - Corned,1602
Pastes - Poultry and meat,1602
"Pates, poultry and meat",1602
"Pig products, canned, prepared or otherwisepreserved",1602
"Pork, canned, prepared or otherwisepreserved",1602
"Poultry liver, canned, prepared or otherwisepreserved",1602
"Poultry meat, canned, prepared or otherwisepreserved",1602
"Veal, canned, prepared or otherwise preserved (including jellied veal)",1602
Extracts - Meat,1603
Meat - Extracts and juices,1603
Whalemeat extract,1603
Brisling (sprats) prepared or preserved,1604
Caviar and caviar substitutes,1604
Fish - In airtight containers,1604
Fish - Paste,1604
Fish - Prepared or preserved,1604
Herring - Prepared or preserved,1604
Pastes - Fish,1604
Roes,1604
"Salmon - Canned, prepared or otherwise preserved",1604
"Tuna (tunny), canned",1604
Brown sugar,1701
"Sugar(s) - Beet and cane, solid",1701
"Sugar(s) - Flavoured or coloured, not containing cocoa","1701, 1702"
Sugar(s) - Chemically pure,"1701, 1702, 2940"
Sugar(s) - Sucrose,"1701, 2106"
Artificial - Honey,1702
Caramel,1702
"Honey, artificial",1702
Isoglucose,1702
Maple sugar and syrup,1702
Glucose,"1702, 2106"
Lactose,"1702, 2106"
Sugar(s) - Invert,"1702, 2106"
Sugar(s) - Syrups,"1702, 2106"
Molasses,1703
"Caramels, confectionery (not containing cocoa)",1704
Chewing gum,1704
Chocolate - White,1704
Compressed tablets (confectionery),1704
Confectionery - Liquorice,1704
Confectionery - Sugar (not containing cocoa),1704
Cough sweets,1704
Fondants (not containing cocoa),1704
"Gums, confectionery (not containing cocoa)",1704
"Jellies, confectionery",1704
"Lozenges, confectionery",1704
Marzipan,1704
Nougat,1704
Panned and sugar coated goods,1704
Pastes and masses for making confectionery,1704
"Pastilles, confectionery",1704
"Sugar(s) - Confectionery, not containing cocoa",1704
"Sweets, boiled",1704
"Toffees, not chocolate covered",1704
White chocolate,1704
Beans - Cocoa,1801
Cocoa - Beans,1801
Cocoa - Shells and husks,1802
Cocoa - Skins,1802
Cocoa - Waste,1802
Cocoa - Paste,1803
Paste cocoa,1803
"Butter, cocoa",1804
Cocoa - Butter,1804
Fat - Cocoa,1804
Oil - Cocoa,1804
"Cocoa - Powder, unsweetened",1805
Chocolate - Confectionery,1806
Chocolate - Couverture,1806
Chocolate - Milk crumb,1806
Chocolate - Moulded,1806
Chocolate - Preparations,1806
Cocoa - Preparations,1806
Confectionery - Chocolate,1806
"Couverture, chocolate",1806
Extracts - Malt,1901
Flour - Preparations,1901
Malt extract,1901
Malt preparations,1901
Macaroni,1902
Pasta,1902
Spaghetti,1902
Vermicelli,1902
"Manioc, prepared foodstuff",1903
Sago - Prepared,1903
"Sago and tapioca, substitute starches,prepared",1903
Tapioca and substitutes,1903
Cereals - Prepared by swelling or roasting,1904
Cornflakes,1904
Puffed rice,1904
"Rice, pre-cooked",1904
Wheat flakes,1904
Biscuits,1905
"Biscuits, chocolate coated",1905
Bread and breadcrumbs,1905
"Cachets, empty, for pharmaceutical use",1905
Cakes,1905
Communion wafers,1905
Cornets - ice cream,1905
Crispbread,1905
Gingerbread,1905
Gluten bread for diabetics,1905
Matzos,1905
Meringues,1905
Oatcakes,1905
Pastry,1905
Rice paper,1905
Rusks,1905
Sealing wafers of cereal four,1905
Ships' biscuits,1905
Waffles and wafers,1905
"Vegetables, edible - Otherwise prepared or preserved","20, 2104"
"Chutney, mango",2001
"Fruit, edible, including peel and nuts - Prepared or preserved by vinegar or acetic acid",2001
"Vegetables, edible - Prepared or preserved by vinegar or acetic acid",2001
Mango chutney,"2001, 2103"
"Juice, tomato (dry weight content 7% or more)",2002
"Puree, tomato",2002
Tomato juice (dry weight content 7% or more),2002
"Tomato pulp, paste and puree",2002
Canned vegetables,"2002, 2003, 2005"
Potato crisps,2005
"Crystallised fruit, fruit peel and parts of plants",2006
"Drained fruit, fruit peel and parts of plants",2006
"Fruit, edible, including peel and nuts - Drained, glace or crystallised",2006
"Ginger, drained, glace or crystallised",2006
"Glace fruit, fruit peel and parts of plants",2006
Fruit jelly,2007
"Fruit, edible, including peel and nuts - Jams and jellies",2007
"Fruit, edible, including peel and nuts - Marmalades",2007
"Fruit, edible, including peel and nuts - Puree and pastes",2007
Jam,2007
"Jelly, fruit",2007
Marmalades,2007
"Paste, fruit (not confectionery)",2007
Puree fruit,2007
Almond nuts - Roasted or salted,2008
Canned fruit and nuts,2008
"Cashew kernels, salted or roasted",2008
"Fruit, edible, including peel and nuts - Otherwise prepared or preserved",2008
Ginger preserved in syrup,2008
"Groundnuts, roasted",2008
"Nuts, roasted or salted",2008
Peanut butter,2008
Citrus fruit juice,2009
"Fruit juice, concentrates",2009
"Fruit, edible, including peel and nuts - Juices",2009
Grape juice,2009
"Juice, fruit or vegetable",2009
Tomato juice (dry weight content under 7%),2009
"Vegetables, edible - Juices (excluding tomato juice of a dry weight content of 7% or more)",2009
Grape must,"2009, 2204"
"Must, grape","2009, 2204"
"Chicory, roasted",2101
"Coffee - Extracts, essences and concentrates",2101
Coffee - Instant,2101
Coffee - Substitutes - Not containing coffee,2101
Concentrates - Chicory,2101
Concentrates - Coffee,2101
Essences - Chicory,2101
Essences - Coffee,2101
Extracts - Chicory,2101
Extracts - Coffee,2101
Instant coffee,2101
"Mate, extracts, essences and concentrates",2101
"Tea, extracts, essences and concentrates",2101
"Baking powders, prepared",2102
"Yeasts, natural",2102
"Condiments, mixed",2103
Mayonnaise,2103
Mustard - Flour,2103
Mustard - Prepared,2103
"Salad cream, mayonnaise and dressing",2103
"Sauces, spicy",2103
"Seasonings, mixed",2103
Tomato ketchup,2103
Broths,2104
Soups,2104
Ice-cream,2105
Cheese fondues,2106
"Cordials, non-alcoholic, concentrated",2106
Food supplements to maintain general health or well-being,2106
"Fruit squashes, non-alcoholic, concentrated",2106
"Jelly, table",2106
Protein concentrates,2106
Protein hydrolysates,2106
Saccharin - Preparations - Containing foodstuffs,2106
Sweet fat,2106
"Sweets, sugarless, containing synthetic sweetening agents",2106
"Table jelly crystals, powders and squares",2106
Vitamin food supplements,2106
"Yeast, autolysed",2106
Aerated waters,2201
Ice and snow,2201
Spa waters,2201
Water - Mineral or aerated,2201
Snow,"2201, 2811, 9505"
"Aerated waters, flavoured or sweetened",2202
Cola (beverage),2202
"Milk, fresh - Flavoured",2202
Non-alcoholic beverages ready for consumption,2202
Spa waters (flavoured),2202
"Beer, malt",2203
Champagne,2204
Madeira wines,2204
Port (wine),2204
Sherry,2204
Wine,2204
Vermouths,2205
Aperitives,"2205, 2208"
Cider,2206
Made-wine,2206
Mead,2206
Perry,2206
Methylated spirits,2207
Spirits - Methylated and neutral,2207
Ethyl alcohol,"2207, 2208"
Brandy,2208
Calvados,2208
Cognac,2208
Gin,2208
Liqueurs,2208
Rum,2208
Spirits - Beverages,2208
Vodka,2208
Whisky,2208
Vinegar (including substitutes),2209
Acetic acid - aqueous solutions,"2209, 2915"
Fish - Meal and flour (animal foods),2301
Flours and meals (animal foods),2301
Greaves,2301
Herring - Meal,2301
Meal - Fish,2301
Meal - Herring,2301
Meal - Meat,2301
Meat - Meal,2301
Bagasse,2302
"Brans, sharps and other residues - Cereals",2302
"Brans, sharps and other residues - Leguminous vegetables",2302
"Brans, sharps and other residues - Rice",2302
Meal - Rice,2302
Middlings,2302
"Rice bran, meal and other residues",2302
Sharps,2302
Beet pulp,2303
Dregs - brewing,2303
Meal - Soya bean,2304
Soya bean cake and meal,2304
"Cake, oil-seed","2304, 2305, 2306"
Oil-seed cake,"2304, 2305, 2306"
Groundnut cake and meal,2305
Meal - Groundnut,2305
Cotton seed cake and meal,2306
Linseed cake and meal,2306
Meal - Cotton seed,2306
Meal - Rape seed,2306
Meal - Sunflower,2306
Rape seed cake and meal,2306
Sunflower seed cake and meal,2306
Argol,2307
"Lees, wine",2307
Wine lees,2307
Acorns,2308
"Apple pomace, dried",2308
"Citrus fruit, waste, dried",2308
Grape marc,2308
Horse chestnuts,2308
Animal feed preparations,2309
Fish - Solubles,2309
"Forage, sweetened or unsweetened",2309
Herring - Liquified,2309
Marine mammal solubles,2309
Solubles - Fish,2309
Solubles - Marine mammal,2309
Vitamin supplements for animal feeding,2309
Tobacco - Unmanufactured,2401
Cheroots,2402
Cigarettes,2402
Cigarillos,2402
Cigars,2402
Tobacco - Manufactured,"2402, 2403"
Chewing tobacco,2403
Snuff,2403
Tobacco - Chewing,2403
